,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,The Trial of the Chicago 7,2020,129,7.9,76,59325,
1,Tenet,2020,150,7.8,69,146622,53.8
2,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,354217,190.24
3,The Gentlemen,2019,113,7.8,51,206052,
4,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,642356,317.58
5,Knives Out,2019,130,7.9,82,417067,165.36
6,Parasite,2019,132,8.6,96,509683,53.37
7,Once Upon a Time... In Hollywood,2019,161,7.6,83,529503,142.5
8,Soorarai Pottru,2020,153,8.9,1,45476,
9,1917,2019,119,8.3,78,391240,159.23
10,Avengers: Endgame,2019,181,8.4,78,781012,858.37
11,Jojo Rabbit,2019,108,7.9,58,276047,0.35
12,The Shawshank Redemption,1994,142,9.3,80,2308573,28.34
13,The Wolf of Wall Street,2013,180,8.2,75,1160541,116.9
14,Joker,2019,122,8.5,59,897687,335.45
15,The Godfather,1972,175,9.2,100,1593285,134.97
16,Love Actually,2003,135,7.6,55,419153,59.7
17,Interstellar,2014,169,8.6,74,1479178,188.02
18,One Flew Over the Cuckoo's Nest,1975,133,8.7,83,906315,112.0
19,Inception,2010,148,8.8,74,2033589,292.58
20,Hamilton,2020,160,8.6,90,47036,
21,Titanic,1997,194,7.8,75,1033124,659.33
22,Inglourious Basterds,2009,153,8.3,69,1246985,120.54
23,Ocean's Eleven,2001,116,7.7,74,510053,183.42
24,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1637324,315.54
25,Little Women,2019,135,7.8,91,131958,108.1
26,The Dark Knight,2008,152,9.0,84,2271458,534.86
27,Home Alone,1990,103,7.6,63,457229,285.76
28,Blade Runner 2049,2017,164,8.0,81,450895,92.05
29,The Shining,1980,146,8.4,66,885171,44.02
30,Pulp Fiction,1994,154,8.9,94,1801609,107.93
31,The Matrix,1999,136,8.7,73,1652069,171.48
32,Goodfellas,1990,146,8.7,90,1004987,46.84
33,V for Vendetta,2005,132,8.2,62,1021278,70.51
34,Harry Potter and the Goblet of Fire,2005,157,7.7,81,538938,290.01
35,Ford v Ferrari,2019,152,8.1,81,273581,117.62
36,A Clockwork Orange,1971,136,8.3,77,748900,6.21
37,Gladiator,2000,155,8.5,67,1323300,187.71
38,Full Metal Jacket,1987,116,8.3,76,666595,46.36
39,Hacksaw Ridge,2016,139,8.1,71,426499,67.21
40,Django Unchained,2012,165,8.4,81,1336194,162.81
41,Saving Private Ryan,1998,169,8.6,91,1218690,216.54
42,The Departed,2006,151,8.5,85,1173353,132.38
43,The Green Mile,1999,189,8.6,61,1128893,136.8
44,Back to the Future,1985,116,8.5,87,1042021,210.61
45,Fargo,1996,98,8.1,85,608861,24.61
46,Fight Club,1999,139,8.8,66,1829128,37.03
47,Get Out,2017,104,7.7,85,482850,176.04
48,Dazed and Confused,1993,102,7.6,78,163434,7.99
49,Se7en,1995,127,8.6,65,1422275,100.13
50,Apocalypse Now,1979,147,8.4,94,598669,83.47
51,The Peanut Butter Falcon,2019,97,7.6,70,60152,13.12
52,The Prestige,2006,130,8.5,66,1171379,53.09
53,Casino Royale,2006,144,8.0,80,576092,167.45
54,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,85,752792,381.01
55,The Dark Knight Rises,2012,164,8.4,78,1497626,448.14
56,The Hunt for Red October,1990,135,7.6,58,178324,122.01
57,Mad Max: Fury Road,2015,120,8.1,90,868059,154.06
58,The Irishman,2019,209,7.9,94,313683,7.0
59,Forrest Gump,1994,142,8.8,82,1779422,330.25
60,The Silence of the Lambs,1991,118,8.6,85,1252071,130.74
61,About Time,2013,123,7.8,55,295351,15.32
62,Gone Girl,2014,149,8.1,79,845320,167.77
63,The Untouchables,1987,119,7.9,79,277614,76.27
64,Avengers: Infinity War,2018,149,8.4,68,813666,678.82
65,Schindler's List,1993,195,8.9,94,1197606,96.9
66,Zodiac,2007,157,7.7,78,455020,33.08
67,Deadpool 2,2018,119,7.7,66,468901,324.59
68,Watchmen,2009,162,7.6,56,496258,107.51
69,Halloween,1978,91,7.8,87,230707,47.0
70,Guardians of the Galaxy,2014,121,8.0,76,1032397,333.18
71,Pride & Prejudice,2005,129,7.8,82,253331,38.41
72,Léon: The Professional,1994,110,8.5,64,1020676,19.5
73,The Lord of the Rings: The Return of the King,2003,201,8.9,94,1621398,377.85
74,Harry Potter and the Prisoner of Azkaban,2004,142,7.9,82,542284,249.36
75,The Nightmare Before Christmas,1993,76,8.0,82,294247,75.08
76,Star Wars: Episode IV - A New Hope,1977,121,8.6,90,1215780,322.74
77,Moneyball,2011,133,7.6,87,363055,75.61
78,Indiana Jones and the Last Crusade,1989,127,8.2,65,684390,197.17
79,Platoon,1986,120,8.1,92,377050,138.53
80,Requiem for a Dream,2000,102,8.3,68,757283,3.64
81,Jurassic Park,1993,127,8.1,68,856342,402.45
82,Thor: Ragnarok,2017,130,7.9,74,575033,315.06
83,Rebecca,1940,130,8.1,86,122157,4.36
84,No Country for Old Men,2007,122,8.1,91,843246,74.28
85,The Big Lebowski,1998,117,8.1,71,723214,17.5
86,Boyz n the Hood,1991,112,7.8,76,124035,57.5
87,Mission: Impossible - Fallout,2018,147,7.7,86,286016,220.16
88,The Princess Bride,1987,98,8.1,77,389626,30.86
89,Tombstone,1993,130,7.8,50,124808,56.51
90,Guardians of the Galaxy Vol. 2,2017,136,7.6,67,559271,389.81
91,Avatar,2009,162,7.8,83,1109380,760.51
92,Alien,1979,117,8.4,89,778415,78.9
93,Deadpool,2016,108,8.0,65,891065,363.07
94,Raiders of the Lost Ark,1981,115,8.4,85,874262,248.16
95,Green Book,2018,130,8.2,69,355750,85.08
96,Call Me by Your Name,2017,132,7.9,93,205415,18.1
97,Harry Potter and the Half-Blood Prince,2009,153,7.6,78,465751,301.96
98,Whiplash,2014,106,8.5,88,702784,13.09
99,American Beauty,1999,122,8.3,84,1058734,130.1
100,Coco,2017,105,8.4,81,365449,209.73
101,Star Trek,2009,127,7.9,82,574299,257.73
102,Baby Driver,2017,113,7.6,86,430457,107.83
103,Taxi Driver,1976,114,8.3,94,713465,28.26
104,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.0,63,1007742,305.41
105,The Martian,2015,144,8.0,80,749646,228.43
106,Prisoners,2013,153,8.1,70,590392,61.0
107,Rogue One: A Star Wars Story,2016,133,7.8,65,545357,532.18
108,Edge of Tomorrow,2014,113,7.9,71,592586,100.21
109,Toy Story,1995,81,8.3,95,875172,191.8
110,Goldfinger,1964,110,7.7,87,171292,51.08
111,Portrait of a Lady on Fire,2019,122,8.1,95,56382,3.76
112,Dunkirk,2017,106,7.9,94,542697,188.37
113,Die Hard,1988,132,8.2,72,775098,83.01
114,American Psycho,2000,101,7.6,64,481801,15.07
115,The Grand Budapest Hotel,2014,99,8.1,88,696385,59.1
116,Shutter Island,2010,138,8.2,63,1111656,128.01
117,Harry Potter and the Deathly Hallows: Part 1,2010,146,7.7,65,470395,295.98
118,Good Will Hunting,1997,126,8.3,70,848752,138.43
119,Braveheart,1995,178,8.3,68,949757,75.6
120,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89,900612,34.4
121,The Social Network,2010,120,7.7,95,616453,96.96
122,My Cousin Vinny,1992,120,7.6,68,105601,52.93
